year,league,player_name,team,batting_avg,hits,home_runs,so,stolen_bases,wins
2000,AL,Darin Erstad,Anaheim,,240.0,,,,
2000,AL,Johnny Damon,Kansas City,,,,,46.0,
2000,NL,Luis Castillo,Florida,,,,,62.0,
2000,AL,Nomar Garciaparra,Boston,0.372,,,,,
2000,AL,Pedro Martinez,Boston,,,,284.0,,
2000,NL,Randy Johnson,Arizona,,,,347.0,,
2000,NL,Sammy Sosa,Chicago,,,50.0,,,
2000,AL,Tim Hudson,Oakland,,,,,,20.0
2000,NL,Todd Helton,Colorado,0.372,216.0,,,,
2000,NL,Tom Glavine,Atlanta,,,,,,21.0
2000,AL,Troy Glaus,Anaheim,,,47.0,,,
2001,AL,Alex Rodriguez,Texas,,,52.0,,,
2001,NL,Barry Bonds,San Francisco,,,73.0,,,
2001,NL,Curt Schilling,Arizona,,,,,,22.0
2001,AL,Hideo Nomo,Boston,,,,220.0,,
2001,AL,Ichiro Suzuki,Seattle,0.35,242.0,,,56.0,
2001,NL,Juan Pierre,Colorado,,,,,46.0,
2001,NL,Larry Walker,Colorado,0.35,,,,,
2001,AL,Mark Mulder,Oakland,,,,,,21.0
2001,NL,Randy Johnson,Arizona,,,,372.0,,
2001,NL,Rich Aurilia,San Francisco,,206.0,,,,
2002,AL,Alex Rodriguez,Texas,,,57.0,,,
2002,AL,Alfonso Soriano,New York,,209.0,,,41.0,
2002,NL,Barry Bonds,San Francisco,0.37,,,,,
2002,AL,Barry Zito,Oakland,,,,,,23.0
2002,NL,Luis Castillo,Florida,,,,,48.0,
2002,AL,Manny Ramirez,Boston,0.349,,,,,
2002,AL,Pedro Martinez,Boston,,,,239.0,,
2002,NL,Randy Johnson,Arizona,,,,334.0,,24.0
2002,NL,Sammy Sosa,Chicago,,,49.0,,,
2002,NL,Vladimir Guerrero,Montreal,,206.0,,,,
2003,NL,Albert Pujols,St. Louis,0.359,212.0,,,,
2003,AL,Alex Rodriguez,Texas,,,47.0,,,
2003,AL,Bill Mueller,Boston,0.326,,,,,
2003,AL,Carl Crawford,Tampa Bay,,,,,55.0,
2003,AL,Esteban Loaiza,Chicago,,,,207.0,,
2003,NL,Jim Thome,Philadelphia,,,47.0,,,
2003,NL,Juan Pierre,Florida,,,,,45.0,
2003,NL,Kerry Wood,Chicago,,,,266.0,,
2003,AL,Roy Halladay,Toronto,,,,,,22.0
2003,NL,Russ Ortiz,Atlanta,,,,,,21.0
2003,AL,Vernon Wells,Toronto,,215.0,,,,
2004,NL,Adrian Beltre,Los Angeles,,,48.0,,,
2004,NL,Barry Bonds,San Francisco,0.362,,,,,
2004,AL,Carl Crawford,Tampa Bay,,,,,59.0,
2004,AL,Curt Schilling,Boston,,,,,,21.0
2004,AL,Ichiro Suzuki,Seattle,0.372,262.0,,,,
2004,AL,Johan Santana,Minnesota,,,,265.0,,
2004,NL,Juan Pierre,Florida,,221.0,,,,
2004,AL,Manny Ramirez,Boston,,,43.0,,,
2004,NL,Randy Johnson,Arizona,,,,290.0,,
2004,NL,Roy Oswalt,Houston,,,,,,20.0
2004,NL,Scott Podsednik,Milwaukee,,,,,70.0,
2005,AL,Alex Rodriguez,New York,,,48.0,,,
2005,NL,Andruw Jones,Atlanta,,,51.0,,,
2005,AL,Bartolo Colon,Los Angeles,,,,,,21.0
2005,AL,Chone Figgins,Los Angeles,,,,,62.0,
2005,NL,Derrek Lee,Chicago,0.335,199.0,,,,
2005,NL,Dontrelle Willis,Florida,,,,,,22.0
2005,NL,Jake Peavy,San Diego,,,,216.0,,
2005,AL,Johan Santana,Minnesota,,,,238.0,,
2005,NL,Jose Reyes,New York,,,,,60.0,
2005,AL,Michael Young,Texas,0.331,221.0,,,,
2006,NL,Aaron Harang,Cincinnati,,,,216.0,,16.0
